Transaction, Token Contract, Token Address
0xc4fa39797c6808d2e4770fd193b941bf6f0e3db3b1b6a2601eb7005a087a7a73, 0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c, EnjinCoin (ENJ)
0x57aa3113d223aadd35405094c75d3229618ec0391573cce49b7c995b42b94100, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x57aa3113d223aadd35405094c75d3229618ec0391573cce49b7c995b42b94100, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xa11c086aab331d4486a0b35eb1a74ace2a3d9eb874b3cbfb4efe6739468d0f56, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xadb234b434d5ad95512bca02eaf5d9b74388986da90baaf61fe93140b395c76b, 0x6b3595068778dd592e39a122f4f5a5cf09c90fe2, SushiToken (SUSHI)
0x31b9cd76f5b5be4bfac6386a34165575718a911330b7d1af2811d79dc6b7afc5, 0x0d8775f648430679a709e98d2b0cb6250d2887ef, BAT (BAT)
0x35f104d30cbd5f5088fb80c33cce37db33812e4ff7485343f0e427115df678bc, 0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f, Synthetix Network Token (SNX)
0x8d533a165de7916914247b480b41a74806c76faa179633083c7653c6321292b5, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x8c351009416fe51ae2ed6bde5ef95e41daa1f9d864fe098bdbea1e8de089a8a6, 0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f, Synthetix Network Token (SNX)
0x1ccea097ad996766ba77f1e778f74e28c73e4b4ea2c3a9c1de291822e343bb96, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
